Date CreatedTweet Content
2015-09-28 19:47:37,"My tax plan puts $2,000 back in the pockets of middle-class American families. New op-ed in @USATODAY: http://t.co/CqWvuR8hnQ"
2015-09-28 19:12:01,Reagan from SC would use the tax relief in my plan to open the bridal boutique she’s always dreamed of: http://t.co/yyFHGxW3gN
2015-09-28 17:58:01,.@RealDonaldTrump’s healthcare plan sounds a lot like Obamacare. I discussed with @radiotalkermike this morning: https://t.co/G1fbNeYxNG
2015-09-28 17:07:08,"Outlined my plan to boost economic growth on @FoxBusiness this morning. Thanks for having me @MariaBartiromo.
https://t.co/s7H0Yt9Ymu"
2015-09-28 15:51:04,At @RallyPoint now answering questions from veterans and military members. Submit yours: http://t.co/pOQ4CXTeH8 http://t.co/mmh28qHLxx
2015-09-28 15:00:41,.@lllenhart what did you find out? I hope he’s #AllinforJeb https://t.co/YlwnDuHU6z
2015-09-28 14:00:14,"Here's what 4% looks like:
https://t.co/HuH95PeNRP"
2015-09-28 13:48:41,Tune in for my radio interview with @radiotalkermike. Listen live here: http://t.co/dqWeDa71Qi
2015-09-28 13:09:03,"Thanks RP team, looking forward to a great discussion with military and veterans at 11 am this morning. https://t.co/DohVj2s2LY"
2015-09-28 12:33:28,I’ll be on @FoxBusiness with @MariaBartiromo this morning live at 8:45 a.m. Hope you can tune in.
2015-09-27 22:13:54,"Obama allows Russia &amp; Iran more influence in Syria &amp; Iraq. Not good for US, Israel, or our moderate Muslim partners http://t.co/nAb2mhqpUG"
2015-09-27 14:25:37,Joined @FoxNewsSunday and talked about my tax plan that shifts power out of DC &amp; creates investment on Main Street. https://t.co/Hoi5itc5RC
2015-09-26 20:21:47,.@Tmcbrayer20 thanks for being a part of Mission-Next. Happy to have you on the team. https://t.co/kPRGoygfNt
2015-09-26 19:25:38,"On third anniversary of Pastor Saeed's imprisonment in
Iran, pray for him, his release and @NaghmehAbedini #SaveSaeed"
2015-09-26 18:51:24,"Sorry to have missed the tailgate fun, but glad @JebBushJr made it. Let the Gator growl! (But go Canes!) http://t.co/wxcgwok9x1"
2015-09-26 17:45:11,Ready to rally? Get yours today —&gt; http://t.co/sLVYpH6OVA http://t.co/3KUoRLQBww
2015-09-26 16:50:13,".@AntoninoLucido thanks for your support. Help us grow the team: http://t.co/WnNL5SlQhG  
https://t.co/daR0ufY1fE"
2015-09-26 14:26:30,RT @ScottSingerUSA: Honored to join countless Americans &amp; respected leaders in supporting Gov. @jebbush! #AllinforJeb http://t.co/NBGZT8OSaz
2015-09-25 20:49:48,Read my op-ed in @dcexaminer on how regulatory reform will unleash America’s entrepreneurial spirit: http://t.co/C3UXwCIwP3
2015-09-25 19:09:29,"My tax plan lowers the top rate 5 pts below China's, empowering American workers and businesses to compete and win. http://t.co/uht0TNPlMA"
2015-09-25 18:34:36,Gave Chris his first tour of Domino Park - watch it on @FoxNewsSunday http://t.co/ewMdFr3KPe
2015-09-25 17:54:01,.@troymeeker thanks for your support https://t.co/OOPteKmlQ9
2015-09-25 16:07:32,Launched our Jewish Leadership Team today. Join now: http://t.co/wPFMRpVtys
2015-09-25 15:02:20,"Leila’s a decade shy of voting age, but she wanted to know why I’m running for president. Watch:
https://t.co/gSoCqlksDF"
2015-09-25 14:40:42,".@CanesIlliniGal I’ll have to make sure our store gets some dog gear for Reagan. Great name, by the way. https://t.co/33iFp57YjX"
2015-09-25 14:20:03,John Boehner dedicated his life to public service. Bringing the Holy Father to Congress was a fitting cap to a great career.
2015-09-25 01:02:40,Obama Admin = gullible.  They should stop fooling themselves about the motives of Russia &amp; Iran http://t.co/onbafEXPwY
2015-09-25 01:01:32,Great to be at the East Cooper Republican Women's Club Shrimp Dinner tonight in South Carolina. Awesome crowd. http://t.co/f9PRnk6aoJ
2015-09-25 00:07:35,"In Iowa, I laid out my plan to slash Obama era regulations and ignite our economy. Watch -&gt;
https://t.co/b75Jns4xHI"
2015-09-24 22:44:59,Did you get your bumper sticker yet? http://t.co/u5NoXs4s1k http://t.co/VYSEG8aVcG
2015-09-24 21:13:45,Praying for the hundreds of innocent Muslims who suffered a tragic death in the stampede in Mecca during the Hajj pilgrimage.
2015-09-24 21:06:18,Will be on @FoxNews with @BretBaier tonight at 6 pm ET. Hope you can tune in.
2015-09-24 20:08:14,"When in Kentucky, get a bourbon barrel lid with your name on it and sign up for the caucuses. http://t.co/0DrvfgSbLn"
2015-09-24 19:35:29,".@terrymeiners great chatting with you!
https://t.co/AkS0vKUjkl"
2015-09-24 17:44:31,Great to be in VA to support @VASenateGOP &amp; @NancyDyeVA. Thx for the 21 pin. Onward to 21-seat Senate majority! http://t.co/bUQBAx9cCP
2015-09-24 16:57:02,"If you’re ever in Bristol, Virginia — @Blackbirdbake is the best spot for a cup of coffee. Hands down. http://t.co/S0oUdYBk1V"
2015-09-24 15:27:44,"Grateful for the inspiring words of @pontifex. People of good will must work together to advance the common good.
https://t.co/26ncJHlF6r"
2015-09-24 12:30:30,NEW: my op-ed in @detroitnews on how tax reform is key to getting our economy back on track: http://t.co/CdztznFMbH
2015-09-23 20:56:19,.@ColumbaBush and I are incredibly blessed to celebrate Mass with @Pontifex and so many fellow Americans today. http://t.co/8eQFYWv0ec
2015-09-23 17:32:28,"Human dignity is central to Catholic teaching, and at the heart of America's promise of liberty and justice for all. http://t.co/tS2U41pIuo"
2015-09-23 16:00:23,"I converted to Catholicism because of @columbabush, and the inspiration of Pope John Paul.
https://t.co/Hr3Q7c7hGA"
2015-09-23 15:38:20,"When asked if he had an audience with Pope John XXIII, Yogi Berra replied ""No, but I met with him.” Am sure they’re meeting again today. RIP"
2015-09-23 15:06:32,"RT @SenOrrinHatch: Unnecessary, burdensome regulations currently impose a burden of roughly $15,000 per household in the United States. htt…"
2015-09-23 14:56:58,@ericbolling so far I like what I see
2015-09-23 13:35:04,"Another packed day on the trail in Iowa yesterday, take a look at some of the photos: https://t.co/cth76XBsHe"
2015-09-23 01:58:32,.@BFalchuk need an iTunes download for my next flight
2015-09-23 01:18:12,Didn't DVR Scream Queens tonight...was it good?  https://t.co/ggT9HvuLLf
2015-09-23 00:16:59,Read my new @WSJ op-ed on how I’ll tackle America’s regulatory crisis as president: http://t.co/rb61i52WsN
2015-09-22 23:12:56,"Supporters like Pieter are making a difference on this campaign every day. You can too: http://t.co/ruKzU06iV7
https://t.co/wYJusxIZX3"
2015-09-22 21:29:39,How Catholic faith changed my life: http://t.co/TlhR2emhIu
2015-09-22 20:54:05,.@HillaryClinton finally says what we already knew. She favors environmental extremists over U.S. jobs. #KeystoneXL https://t.co/KOhVPPj8xm
2015-09-22 19:56:58,The Senate's failure to ban late-term abortions for pain-capable children is tragic. Protecting them will be a priority when I'm in the WH.
2015-09-22 19:26:26,"As we approach #YomKippur, Columba and I wish our Jewish friends an easy fast and to be inscribed in the Book of Life."
2015-09-22 18:54:25,Pumped to have you on board!  https://t.co/4wZQgdU1EN
2015-09-22 18:53:46,@AmyOtto8 http://t.co/4qzIr7W4Aq I bet you'll like some other conservative reforms !
2015-09-22 18:53:27,RT @AmyOtto8: Regulatory change to give back some much needed money and time to everyone  https://t.co/CNjvvUIjnF
2015-09-22 18:51:41,Happy National Voter Registration Day! Make sure you’re ready to vote in 2016 —&gt; http://t.co/5kkXej3cDP #NVRD
2015-09-22 17:50:14,Regulatory reform starts with repeal of: Dodd Frank. #DitchTheRule. Carbon Rule. Coal Ash Rule. Net Neutrality. http://t.co/WMZFmGevK6
2015-09-22 16:51:37,It shouldn’t take nearly a decade for critical infrastructure projects to get approved. http://t.co/WMZFmGevK6 http://t.co/1lSAxv27Ns
2015-09-22 16:30:28,RT @LincolnLabs: .@JebBush is the first #GOP presidential candidate to lay out regulatory reform blueprint. https://t.co/Qas6yHS3DM #innova…
